Feature,Importance
koi_prad,0.24054728076667112
koi_model_snr,0.17508914916796514
koi_teq,0.10085832454202229
koi_impact,0.08699517065441345
koi_depth,0.08067865947649963
koi_period,0.07775291785945898
koi_duration,0.07097064339759936
koi_insol,0.04100557017867627
koi_time0bk,0.03231644601516845
koi_srad,0.03032654178285317
koi_steff,0.028068410466795073
koi_slogg,0.022890760418834893
koi_kepmag,0.012500125273042081
