Model,Accuracy,Precision Macro,Recall Macro,F1 Macro,ROC_AUC
Tuned Gradient Boosting,0.9263657957244655,0.9141519608735857,0.9198827362098112,0.9169133609630945,0.9728709523887676
Gradient Boosting,0.9192399049881235,0.9066753578514091,0.9108510035942295,0.9087070768916781,0.9668503101869329
SVM,0.9073634204275535,0.8880486992913873,0.9184805353596692,0.8991120087125344,0.9684981782672202
Random Forest,0.9102137767220903,0.8964266654220855,0.900781724409578,0.898540738120625,0.9580939915642284
Logistic Regression,0.8318289786223277,0.8115523442231312,0.8440556736308283,0.8199352204649977,0.9161274638525546
