,precision,recall,f1-score,support
0,0.9513590844062947,0.9386026817219478,0.9449378330373002,1417.0
1,0.8769448373408769,0.9011627906976745,0.8888888888888888,688.0
accuracy,0.9263657957244655,0.9263657957244655,0.9263657957244655,0.9263657957244655
macro avg,0.9141519608735857,0.9198827362098112,0.9169133609630945,2105.0
weighted avg,0.9270374682632984,0.9263657957244655,0.9266187482039951,2105.0
