koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_duration,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
0,0,0,0,2.6255,1023.5,806.0,37.9,2.0,q1_q17_dr25_tce,5714.0,4.428,1.015,0,1,0
0,0,0,0,3.573,1510.9,489.0,48.2,1.0,q1_q17_dr25_tce,5129.0,4.595,0.763,0,1,0
0,0,0,0,3.3539,511.7,785.0,88.4,1.0,q1_q17_dr25_tce,5854.0,4.406,1.012,0,1,0
0,0,0,0,3.0014,192.4,997.0,47.1,2.0,q1_q17_dr25_tce,5779.0,4.339,1.087,0,1,0
0,1,0,0,2.3078,24446.0,967.0,835.6,1.0,q1_q17_dr25_tce,6108.0,4.469,0.956,0,0,1
0,0,0,0,3.0249,1127.1,433.0,28.9,2.0,q1_q17_dr25_tce,4126.0,4.661,0.615,0,1,0
0,0,0,0,2.0805,1306.1,553.0,38.7,1.0,q1_q17_dr25_tce,4126.0,4.661,0.615,0,1,0
0,0,0,0,4.007,1122.3,332.0,21.7,3.0,q1_q17_dr25_tce,4126.0,4.661,0.615,0,1,0
0,0,0,0,2.683,5226.5,1023.0,345.2,1.0,q1_q17_dr25_tce,5497.0,4.577,0.809,0,1,0
0,0,0,0,3.362,6256.0,467.0,36.9,1.0,q1_q17_dr25_tce,5446.0,4.507,0.781,1,0,0
0,0,0,0,1.1196,821.7,822.0,38.9,1.0,q1_q17_dr25_tce,4149.0,4.698,0.564,0,1,0
0,1,0,0,6.5036,14489.0,833.0,745.2,1.0,q1_q17_dr25_tce,5746.0,4.393,0.924,0,0,1
0,0,0,0,1.9982,971.2,1070.0,82.4,1.0,q1_q17_dr25_tce,5005.0,4.595,0.765,0,1,0
0,0,0,0,0.558,556.4,734.0,13.7,2.0,q1_q17_dr25_tce,5005.0,4.595,0.765,1,0,0
0,0,0,0,3.133,23.2,1272.0,8.7,3.0,q1_q17_dr25_tce,5779.0,4.339,1.087,1,0,0
0,0,0,0,2.5237,2804.5,396.0,71.0,1.0,q1_q17_dr25_tce,3688.0,4.79,0.473,0,1,0
0,0,0,0,4.3084,2793.3,1015.0,221.1,1.0,q1_q17_dr25_tce,5992.0,4.415,0.989,0,1,0
0,0,0,0,7.5377,3001.0,833.0,312.1,1.0,q1_q17_dr25_tce,5485.0,4.556,0.867,0,1,0
0,0,0,0,2.7594,1219.8,393.0,37.1,1.0,q1_q17_dr25_tce,4077.0,4.702,0.56,0,1,0
0,0,0,0,1.369,1053.3,488.0,30.3,2.0,q1_q17_dr25_tce,4077.0,4.702,0.56,0,1,0
0,0,0,0,3.8896,916.6,677.0,35.8,1.0,q1_q17_dr25_tce,5557.0,4.603,0.75,0,1,0
0,0,0,0,6.802,615.2,531.0,83.7,2.0,q1_q17_dr25_tce,5854.0,4.406,1.012,0,1,0
0,1,1,0,3.813,725.3,1032.0,39.0,1.0,q1_q17_dr25_tce,5295.0,4.551,0.811,0,0,1
0,0,0,0,2.1145,1620.6,1547.0,103.6,1.0,q1_q17_dr25_tce,5735.0,4.41,0.973,1,0,0
0,0,0,0,3.0099,837.5,1420.0,64.5,1.0,q1_q17_dr25_tce,6214.0,4.442,1.076,0,1,0
